nom1;nom2;nom3;nom4;code_postal;longitude;latitude
candas;CANDAS;candas;Candas;80750;2.25;50.1
longueval;LONGUEVAL;longueval;Longueval;80360;2.80361;50.0256
chepy-80;CHEPY;chepy;Chepy;80210;1.65;50.0667
mirvaux;MIRVAUX;mirvaux;Mirvaux;80260;2.4;50
flers-80;FLERS;flers;Flers;80360;2.81667;50.05
flesselles;FLESSELLES;flesselles;Flesselles;80260;2.25;50
ville-le-marclet;VILLE-LE-MARCLET;ville le marclet;Ville-le-Marclet;80420;2.08333;50.0167
estrees-deniecourt;ESTREES-DENIECOURT;estrees deniecourt;Estrées-Deniécourt;80200;2.81667;49.8833
bailleul-80;BAILLEUL;bailleul;Bailleul;80490;1.85;50.0333
arvillers;ARVILLERS;arvillers;Arvillers;80910;2.65;49.7333
demuin;DEMUIN;demuin;Démuin;80110;2.55;49.8167
folies;FOLIES;folies;Folies;80170;2.66667;49.75
domart-sur-la-luce;DOMART-SUR-LA-LUCE;domart sur la luce;Domart-sur-la-Luce;80110;2.48333;49.8167
saulchoy-sous-poix;SAULCHOY-SOUS-POIX;saulchoy sous poix;Saulchoy-sous-Poix;80290;1.93333;49.75
